phi102228	phi299852	phi090	Phi031	phi108411 	phi065	umc1161	phi 227562	phi96100	phi115	phi 084	phi127	phi062	phi057	phi085	umc 1304	phi109188	umc1332	Phi083	phi056	
1	115	120	137	187	120	149	144	312	275	303	151	110	155	149	172	128	156	118	125	243
1	115	120	137	187	114	129	144	312	275	303	157	110	99	155	172	134	160	138	125	249
1	115	110	137	187	112	129	144	312	275	290	151	110	155	146	172	128	160	118	125	237
1	122	110	137	187	114	129	144	312	295	290	151	124	99	149	257	134	160	118	125	237
1	115	120	137	187	114	129	144	312	265	303	151	110	152	143	257	128	160	140	125	243
1	122	110	137	165	114	129	144	297	295	303	151	110	99	155	247	134	160	140	131	237
1	115	120	137	187	114	129	144	303	275	290	157	110	161	146	172	128	160	140	125	231
1	122	110	137	187	114	129	144	312	265	290	151	110	155	152	172	134	160	140	125	234
1	115	110	137	187	120	129	144	312	275	290	151	110	152	149	247	128	160	140	125	234
1	122	120	137	171	114	129	144	303	295	290	151	110	155	155	247	128	160	140	125	237
1	115	120	137	187	114	129	144	312	275	303	151	110	99	155	172	134	164	118	125	231
1	115	110	137	187	112	129	144	303	295	303	151	124	99	146	247	128	160	140	125	237
1	115	110	137	187	114	139	144	297	275	303	151	110	99	146	247	128	156	118	125	231
1	122	110	137	187	120	139	144	312	275	303	151	110	99	146	257	128	160	140	125	237
1	115	120	137	187	114	129	150	312	275	290	130	110	99	152	247	134	160	138	125	243
1	122	120	137	171	114	149	150	312	275	290	151	110	158	146	247	134	160	140	125	234
1	122	120	137	171	114	139	144	297	275	290	151	110	161	146	247	128	164	140	125	246
1	122	120	137	187	114	129	144	312	295	303	151	124	155	146	247	128	160	140	125	243
1	122	110	137	171	114	129	144	303	275	290	136	124	155	155	247	128	160	140	125	240
1	115	108	137	187	114	129	150	312	265	290	151	110	99	146	247	128	160	118	125	231
1	115	110	137	165	114	129	144	312	265	303	136	124	161	155	257	128	156	118	125	234
1	115	110	137	187	114	149	144	297	275	290	151	124	152	152	247	128	160	138	125	240
1	115	118	137	187	114	149	144	297	265	303	151	124	99	155	247	134	156	140	125	246
1	122	118	137	187	114	149	144	297	275	303	151	110	99	143	257	128	160	138	125	243
1	122	108	137	187	114	149	144	303	275	290	151	110	155	146	247	128	164	140	125	234
1	115	110	137	187	120	129	144	303	265	290	151	110	99	146	172	128	160	140	125	240
1	115	108	137	187	114	129	150	312	275	303	136	110	152	149	257	128	160	140	131	240
1	115	120	137	171	114	149	144	303	275	303	151	110	99	146	247	128	156	118	125	246
1	122	110	137	187	114	139	144	312	265	290	151	124	99	149	172	128	156	140	125	246
1	115	120	137	187	114	139	144	297	265	290	151	110	158	155	257	128	164	118	131	249
2	122	110	137	187	114	129	138	292	-9	303	151	124	99	152	257	128	156	136	125	240
2	115	110	137	187	114	129	132	292	-9	290	151	124	99	143	162	128	156	140	125	243
2	115	110	137	187	114	129	138	300	-9	290	151	124	155	143	172	128	152	112	125	246
2	115	120	137	187	120	129	132	292	-9	290	151	124	149	143	257	128	156	112	125	240
2	122	120	137	187	120	139	144	292	-9	303	151	124	149	152	257	128	152	136	131	240
2	122	110	137	187	114	129	144	292	-9	290	151	124	149	152	172	128	156	136	131	240
2	115	105	137	187	114	149	132	300	-9	290	151	124	99	143	257	128	152	136	125	240
2	122	110	137	187	114	129	144	300	-9	303	151	124	99	143	257	128	156	143	125	246
2	115	110	137	179	114	149	132	300	-9	290	151	124	99	143	172	128	156	112	125	237
2	122	110	137	187	114	129	144	300	-9	303	151	124	99	152	257	128	152	112	125	240
2	122	110	137	187	114	139	144	300	-9	303	151	110	99	143	232	128	152	112	125	240
2	126	108	137	171	114	129	144	300	-9	290	151	124	99	152	172	128	160	136	125	237
2	115	110	137	187	114	149	144	300	-9	290	151	124	99	152	257	128	152	140	125	246
2	122	120	137	171	120	129	144	300	-9	303	151	110	149	143	257	128	156	136	131	240
2	122	108	137	171	114	129	144	292	-9	290	151	124	99	152	257	128	152	143	125	243
2	122	110	137	187	114	129	138	300	-9	303	151	124	99	143	257	128	152	136	125	246
2	122	108	137	187	114	149	144	292	-9	290	151	124	155	152	172	128	152	112	125	237
2	115	110	137	187	114	129	138	300	-9	290	151	110	99	143	257	128	156	112	125	237
2	115	120	137	179	114	149	144	292	-9	290	151	124	149	152	257	128	160	136	131	246
2	115	120	137	187	114	149	144	300	-9	303	151	124	99	143	257	128	156	136	125	243
2	115	110	137	187	120	139	144	292	-9	303	151	110	155	143	172	128	156	136	125	240
2	115	110	137	171	114	129	144	300	-9	290	151	124	99	152	257	128	160	136	131	243
